"","0.80800000000000005","X2","73","X4","X5","X6","X7","74","X9","X10","X11","X12","X13","X14","X15","X16","75","X18","X19","X20","X21","76","X23","X24","X25","X26","77","X28","X29","X30","X31","78","X33","X34","X35","X36"
"1","Digital Access Attribute Totals
(sorted by winner below)",NA,"Cellular competitiveness level","raw data","difference","raw score","weighted score","Average cost of baseline package with data","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Free WIFI scale","raw data","difference","raw score","weighted score","Mobile phone infrastructure","raw data","difference","raw score","weighted score","Municipal government open urban data scale","raw data","difference","raw score","weighted score","Gamers + Developers scale","raw data","difference","raw score","weighted score"
"37","New York City","65.682583724177718","New York City","10","34","19.047619047619051","15.390476190476194","New York City","25","1","25","8.75","2.8571428571428572","2.7726897959183674","88.694339300235256","71.665026154590095","New York City","11","2","80","64.64","New York City","3","0","100","80.800000000000011","New York City","6","0","100","80.800000000000011","New York City","5","0","100","80.800000000000011"
"38","Osaka","50.845099244164942","Osaka","5","39","7.1428571428571388","5.7714285714285687","Osaka","5028","1.0200000000000001E-2","51.285600000000002","8.39","6.1127056019070318","6.0282525406825425","75.419761006882524","60.939166893561087","Osaka","10","3","70","56.56","Osaka","3","0","100","80.800000000000011","Osaka","6","0","100","80.800000000000011","Osaka","2","3","25","20.200000000000003"
"39","Paris","64.29812310639447","Paris","15","29","30.952380952380949","25.009523809523809","Paris","8.8699999999999992","1.3277000000000001","11.776699000000001","12.52","0.94063091054313108","0.85617784931864127","96.508929243617473","77.979214828842927","Paris","8","5","50","40.400000000000006","Paris","3","0","100","80.800000000000011","Paris","6","0","100","80.800000000000011","Paris","5","0","100","80.800000000000011"
"40","Quito","55.889717404737858","Quito","3","41","2.3809523809523796","1.9238095238095227","Quito","12.73","1","12.73","2.13","5.9765258215962449","5.8920727603717555","75.975034947959045","61.387828237950913","Quito","10","3","70","56.56","Quito","3","0","100","80.800000000000011","Quito","2","4","66.666666666666657","53.86666666666666","Quito","5","0","100","80.800000000000011"
"41","Rio De Janeiro","55.771641987090071","Rio De Janeiro","4","40","4.7619047619047592","3.8476190476190455","Rio De Janeiro","50","0.46410000000000001","23.205000000000002","2.31","10.045454545454547","9.9610014842300565","59.383951577872928","47.98223287492133","Rio De Janeiro","8","5","50","40.400000000000006","Rio De Janeiro","3","0","100","80.800000000000011","Rio De Janeiro","6","0","100","80.800000000000011","Rio De Janeiro","5","0","100","80.800000000000011"
"42","Rome","57.839890159639715","Rome","8","36","14.285714285714292","11.542857142857148","Rome","10","1.3277000000000001","13.277000000000001","7.97","1.6658720200752826","1.5814189588507928","93.551753896428778","75.589817148314452","Rome","6","7","30","24.240000000000002","Rome","3","0","100","80.800000000000011","Rome","5","1","91.666666666666671","74.066666666666677","Rome","5","0","100","80.800000000000011"
"43","San Francisco","63.093012591258372","San Francisco","10","34","19.047619047619051","15.390476190476194","San Francisco","34","1","34","11.05","3.0769230769230766","2.9924700156985868","87.798184022781328","70.940932690407323","San Francisco","10","3","70","56.56","San Francisco","3","0","100","80.800000000000011","San Francisco","5","1","91.666666666666671","74.066666666666677","San Francisco","5","0","100","80.800000000000011"
"44","Santiago","51.975119061010872","Santiago","7","37","11.904761904761912","9.6190476190476257","Santiago","9709","2E-3","19.417999999999999","2.5299999999999998","7.6750988142292496","7.5906457530047602","69.049092508685135","55.791666747017594","Santiago","11","2","80","64.64","Santiago","3","0","100","80.800000000000011","Santiago","6","0","100","80.800000000000011","Santiago","2","3","25","20.200000000000003"
"45","Sao Paulo","55.027020799063997","Sao Paulo","7","37","11.904761904761912","9.6190476190476257","Sao Paulo","0","0.46410000000000001","0","2.31","10.700811536875657","10.616358475651166","56.711729177396414","45.823077175336309","Sao Paulo","7","6","40","32.32","Sao Paulo","3","0","100","80.800000000000011","Sao Paulo","6","0","100","80.800000000000011","Sao Paulo","5","0","100","80.800000000000011"
"46","Seoul","60.608771714721939","Seoul","3","41","2.3809523809523796","1.9238095238095227","Seoul","64000","8.9999999999999998E-4","57.6","4.46","12.914798206278027","12.830345145053537","47.684184114507474","38.528820764522038","Seoul","13","0","100","80.800000000000011","Seoul","3","0","100","80.800000000000011","Seoul","6","0","100","80.800000000000011","Seoul","5","0","100","80.800000000000011"
"47","Shanghai","44.416177825826402","Shanghai","3","41","2.3809523809523796","1.9238095238095227","Shanghai","33","0.1615","5.3295000000000003","2.75","1.9380000000000002","1.8535469387755104","92.442150286075304","74.693257431148851","Shanghai","9","4","60","48.480000000000004","Shanghai","3","0","100","80.800000000000011","Shanghai","-6","12","0","0","Shanghai","4","1","75","60.6"
"48","Singapore","58.115648565492428","Singapore","3","41","2.3809523809523796","1.9238095238095227","Singapore","30.07","0.79949999999999999","24.040965","4","6.01024125","5.9257881887755106","75.837560069073859","61.276748535811684","Singapore","10","3","70","56.56","Singapore","3","0","100","80.800000000000011","Singapore","4","2","83.333333333333329","67.333333333333329","Singapore","5","0","100","80.800000000000011"
"49","Sydney","65.508736314752312","Sydney","44","0","100","80.800000000000011","Sydney","29.9","0.96499999999999997","28.853499999999997","16.28","1.7723280098280094","1.6878749486035196","93.117678904926422","75.239084555180554","Sydney","9","4","60","48.480000000000004","Sydney","3","0","100","80.800000000000011","Sydney","4","2","83.333333333333329","67.333333333333329","Sydney","3","2","50","40.400000000000006"
"50","Tehran","41.350309987971201","Tehran","4","40","4.7619047619047592","3.8476190476190455","Tehran","90000","1E-4","9","2.2400000000000002","4.0178571428571423","3.9334040816326525","83.961519241181719","67.840907546874831","Tehran","9","4","60","48.480000000000004","Tehran","1","2","0","0","Tehran","4","2","83.333333333333329","67.333333333333329","Tehran","4","1","75","60.6"
