"","0.75900000000000001","X2","86","X4","X5","X6","X7","87","X9","X10","X11","X12","X13","X14","X15","X16","88","X18","X19","X20","X21","X22","X23"
"1","Film Attribute Totals
(sorted by winner below)",NA,"FIlm festivals","raw data","difference","raw score","weighted score","Cost of a movie ticket","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Number of cinema seats","raw data","population","per 10000","difference","raw score","weighted score"
"31","Miami","36.781304087775219","Miami","0","80","0","29.885624999999997","Miami","11.32","1","11.32","8.0500000000000007","1.4062111801242234","0.46541401449091946","98.282291481250056","74.5962592342688","Miami","8268","2496435","33.119228019155315","393.91659739709928","7.723357087031431","5.862028029056856"
"32","Montreal","33.280057612539927","Montreal","16","64","20","15.18","Montreal","12.05","0.97109999999999996","11.701755","10.050000000000001","1.1643537313432835","0.2235565657099795","99.174917373808455","75.273762286720611","Montreal","20246","3824220","52.941514871006369","374.09431054524828","12.366812320025261","9.3864105508991731"
"33","Moscow","30.241384720886654","Moscow","33","47","41.25","31.30875","Moscow","361.88","3.1399999999999997E-2","11.363031999999999","1.21","9.3909355371900816","8.4501383715567773","68.812983250374145","52.229054287033975","Moscow","46667","11503501","40.567649796353301","386.46817561990133","9.4681816543161688","7.1863498756259725"
"34","Mumbai","20.117047890119412","Mumbai","7","73","8.75","6.6412500000000003","Mumbai","234.95","1.7100000000000001E-2","4.0176449999999999","0.43","9.3433604651162785","8.4025632994829742","68.988569081562972","52.362323932906293","Mumbai","9616","12442373","7.7284292956014102","419.30739612065321","1.7754541995414286","1.3475697374519444"
"35","Nairobi","21.390519243136026","Nairobi","5","75","6.25","4.7437500000000004","Nairobi","528.57000000000005","1.18E-2","6.2371260000000008","0.9","6.9301400000000006","5.9893428343666963","77.895067857896706","59.122356504143603","Nairobi","586","3138369","1.8672119180376814","425.16861349821693","0.40243903196900987","0.30545122526447849"
"36","New Delhi","25.040317774603437","New Delhi","12","68","15","11.385","New Delhi","252.97","1.7100000000000001E-2","4.325787","0.62","6.9770758064516132","6.0362786408183089","77.721841371228663","58.990877600762559","New Delhi","45054","16787941","26.83712076424381","400.1987046520108","6.2517466706821381","4.7450757230477425"
"37","New York City","62.533868892837241","New York City","74","6","92.5","70.207499999999996","New York City","13.77","1","13.77","8.75","1.5737142857142856","0.63291712008098167","97.664085964375275","74.127041246960829","New York City","204680","8405837","243.49746491634326","183.53836049991136","57.005356299803545","43.26706543155089"
"38","Osaka","30.124634325765172","Osaka","8","72","10","7.59","Osaka","1722.73","1.0200000000000001E-2","17.571846000000001","8.39","2.0943797377830751","1.1535825721497712","95.742460369547373","72.668527420486456","Osaka","15307","2683487","57.041453899348127","369.99437151690648","13.327240522805084","10.11537555680906"
"39","Paris","38.882013382776968","Paris","22","58","27.5","20.872499999999999","Paris","9.89","1.3277000000000001","13.130953000000002","12.52","1.0487981629392973","0.10800099730599333","99.601399555385299","75.597462262537448","Paris","73857","6500000","113.62615384615384","313.40967157010078","26.582447807369505","20.176077885793454"
"40","Quito","28.935155479528586","Quito","5","75","6.25","4.7437500000000004","Quito","5","1","5","2.13","2.347417840375587","1.4066206747422831","94.808569917479858","71.959704567367211","Quito","15210","2670000","56.966292134831463","370.06953328142316","13.309633558917696","10.102011871218531"
"41","Rio De Janeiro","30.789701395241718","Rio De Janeiro","16","64","20","15.18","Rio De Janeiro","21.59","0.46410000000000001","10.019919","2.31","4.3376272727272722","3.3968301070939684","87.463282518288977","66.384631431381337","Rio De Janeiro","39314","6453682","60.917163256571989","366.11866215968263","14.235141968832423","10.804472754343809"
"42","Rome","39.627779831205267","Rome","14","66","17.5","13.282500000000001","Rome","8.4600000000000009","1.3277000000000001","11.232342000000003","7.97","1.4093277289836892","0.46853056335038523","98.270789200789366","74.587529003399126","Rome","50441","2889305","174.57831554647225","252.45750986978237","40.860751634014058","31.013310490216671"
"43","San Francisco","61.498977254917122","San Francisco","47","33","58.75","44.591250000000002","San Francisco","12.94","1","12.94","11.05","1.1710407239819003","0.23024355834859633","99.15023761801568","75.255030352073902","San Francisco","45788","1258722","363.76578783877613","63.27003757747849","85.178723863870175","64.650651412677462"
"44","Santiago","28.309312495045557","Santiago","5","75","6.25","4.7437500000000004","Santiago","4094.56","2E-3","8.1891200000000008","2.5299999999999998","3.2368063241106726","2.2960091584773688","91.526094256189552","69.468305540447872","Santiago","38877","6434576","60.418899396013039","366.61692602024158","14.118421534504336","10.715881944688791"
"45","Sao Paulo","32.789952538492194","Sao Paulo","25","55","31.25","23.71875","Sao Paulo","22.91","0.46410000000000001","10.632531","2.31","4.6028272727272723","3.6620301070939685","86.484506020398669","65.641740069482594","Sao Paulo","60456","11895893","50.820900961365403","376.21492445488923","11.870049467712775","9.0093675459939959"
"46","Seoul","46.073160151939987","Seoul","53","27","66.25","50.283749999999998","Seoul","9332.35","8.9999999999999998E-4","8.3991150000000001","4.46","1.8832096412556054","0.94241247562230146","96.521828120445988","73.260067543418501","Seoul","83665","10117909","82.690010356883022","344.3458150593716","19.335524258763471","14.675662912401474"
"47","Shanghai","23.520283232549687","Shanghai","2","78","2.5","1.8975","Shanghai","79.92","0.1615","12.907080000000001","2.75","4.693483636363637","3.7526864707303331","86.149919602180461","65.387788978054971","Shanghai","40424","21766000","18.572084903059817","408.46374051319481","4.3156267715337293","3.2755607195941008"
"48","Singapore","31.504357005143941","Singapore","10","70","12.5","9.4875000000000007","Singapore","10.89","0.79949999999999999","8.7065549999999998","4","2.17663875","1.2358415843666961","95.438866146705763","72.438099405349675","Singapore","37689","5312400","70.945335441608307","356.09048997464629","16.584284071254473","12.587471610082146"
"49","Sydney","43.296789950100582","Sydney","39","41","48.75","37.001249999999999","Sydney","18.8","0.96499999999999997","18.141999999999999","16.28","1.1143734643734642","0.17357629874016023","99.359380083719259","75.413769483542922","Sydney","46827","4757083","98.436373718936593","328.59945169731805","23.024177031302798","17.475350366758825"
"50","Tehran","32.149383853106329","Tehran","15","65","18.75","14.231249999999999","Tehran","3","1","3","2.2400000000000002","1.3392857142857142","0.39848854865241023","98.529294019233049","74.783734160597888","Tehran","34211","8154051","41.955832751107387","385.07999266514724","9.7933694317800928","7.4331673987210909"
"51","Tel Aviv","28.324858401003187","Tel Aviv","6","74","7.5","5.6924999999999999","Tel Aviv","39.08","0.27729999999999999","10.836884","6.41","1.6906215288611544","0.7498243632278504","97.232615142258751","73.799554892974399","Tel Aviv","4125","1331300","30.984751746413281","396.05107366984134","7.2233469170423916","5.4825203100351754"
"52","Tokyo","32.239785065469619","Tokyo","15","65","18.75","14.231249999999999","Tokyo","1796.5","1.0200000000000001E-2","18.324300000000001","9.1","2.0136593406593408","1.072862175026037","96.040376009083886","72.894645390894667","Tokyo","71431","13202041","54.106027999761551","372.9297974164931","12.639604486843453","9.5934598055141809"
"53","Toronto","49.962445661108013","Toronto","50","30","62.5","47.4375","Toronto","13.993","0.97109999999999996","13.5886023","9.9499999999999993","1.3656886733668343","0.42489150773353035","98.431848333624615","74.709772885221085","Toronto","40839","2615060","156.16850091393695","270.86732450231767","36.548174042296381","27.740064098102952"
