"","0.81799999999999995","X2","61","X4","X5","X6","X7","62","X9","X10","X11","X12","63","X14","X15","X16","X17","64","X19","X20","X21","X22","65","X24","X25","X26","X27","66","X29","X30","X31","X32"
"1","Financial Services Attribute Totals
(sorted by winner below)",NA,"Business banking availability","raw data","difference","raw score","weighted score","Personal Banking availability","raw data","difference","raw score","weighted score","Number of ""Chartered"" banks in your city","raw data","difference","raw score","weighted score","Online banking","raw data","difference","raw score","weighted score","Mobile banking","raw data","difference","raw score","weighted score","Financial literacy","raw data","difference","raw score","weighted score"
"11","Caracas","15.988606390642076","Caracas","18","10","23.07692307692308","18.876923076923077","Caracas","14","13","23.529411764705884","19.247058823529411","Caracas","7","534","1.293900184842883","1.0584103512014782","Caracas","7","391","1.5113350125944578","1.2362720403022665","Caracas","2","165","1.1976047904191773","0.97964071856288704","Caracas","2","1","66.666666666666657","54.533333333333324"
"12","Casablanca","20.315856245127659","Casablanca","20","12","7.6923076923076934","6.292307692307693","Casablanca","12","11","35.294117647058812","28.870588235294107","Casablanca","12","529","2.2181146025877894","1.8144177449168115","Casablanca","9","389","2.0151133501259437","1.6483627204030218","Casablanca","3","164","1.7964071856287518","1.4694610778443189","Casablanca","3","0","100","81.8"
"13","Chicago","24.908608748898114","Chicago","18","10","23.07692307692308","18.876923076923077","Chicago","18","17","0","0","Chicago","71","470","13.123844731977812","10.73530499075785","Chicago","62","336","15.365239294710321","12.568765743073042","Chicago","52","115","31.137724550898213","25.470658682634735","Chicago","3","0","100","81.8"
"14","Dallas","19.623224452779823","Dallas","18","10","23.07692307692308","18.876923076923077","Dallas","18","17","0","0","Dallas","67","474","12.384473197781887","10.130499075785583","Dallas","60","338","14.861460957178835","12.156675062972287","Dallas","45","122","26.946107784431149","22.041916167664677","Dallas","2","1","66.666666666666657","54.533333333333324"
"15","Dar Es Salaam","15.992174500648721","Dar Es Salaam","18","10","23.07692307692308","18.876923076923077","Dar Es Salaam","18","17","0","0","Dar Es Salaam","40","501","7.3937153419593358","6.0480591497227367","Dar Es Salaam","24","374","5.7934508816120882","4.7390428211586881","Dar Es Salaam","24","143","14.371257485029943","11.755688622754493","Dar Es Salaam","2","1","66.666666666666657","54.533333333333324"
"16","Detroit","21.040023316318774","Detroit","18","10","23.07692307692308","18.876923076923077","Detroit","18","17","0","0","Detroit","31","510","5.730129390018476","4.6872458410351134","Detroit","31","367","7.556675062972289","6.1813602015113318","Detroit","30","137","17.964071856287433","14.694610778443119","Detroit","3","0","100","81.8"
"17","Dubai","13.389438907453842","Dubai","21","13","0","0","Dubai","18","17","0","0","Dubai","43","498","7.9482439926062796","6.5016635859519365","Dubai","40","358","9.8236775818639757","8.0357682619647317","Dubai","23","144","13.772455089820369","11.265868263473061","Dubai","2","1","66.666666666666657","54.533333333333324"
"18","Durban","13.285933568971517","Durban","18","10","23.07692307692308","18.876923076923077","Durban","18","17","0","0","Durban","10","531","1.8484288354898268","1.5120147874306782","Durban","10","388","2.2670025188916867","1.8544080604533997","Durban","6","161","3.5928143712574894","2.9389221556886262","Durban","2","1","66.666666666666657","54.533333333333324"
"19","Hong Kong","15.250178351219182","Hong Kong","18","10","23.07692307692308","18.876923076923077","Hong Kong","18","17","0","0","Hong Kong","23","518","4.2513863216266117","3.4776340110905681","Hong Kong","22","376","5.2896725440806023","4.3269521410579328","Hong Kong","21","146","12.574850299401206","10.286227544910185","Hong Kong","2","1","66.666666666666657","54.533333333333324"
"20","Istanbul","7.9847030327181185","Istanbul","18","10","23.07692307692308","18.876923076923077","Istanbul","18","17","0","0","Istanbul","49","492","9.0573012939001813","7.4088724584103476","Istanbul","37","361","9.0680100755667468","7.4176322418135987","Istanbul","29","138","17.365269461077858","14.204790419161688","Istanbul","0","3","0","0"
"21","Jakarta","12.588897170399191","Jakarta","21","13","0","0","Jakarta","17","16","5.8823529411764639","4.8117647058823474","Jakarta","74","467","13.67837338262477","11.188909426987061","Jakarta","11","387","2.5188916876574297","2.0604534005037771","Jakarta","6","161","3.5928143712574894","2.9389221556886262","Jakarta","2","1","66.666666666666657","54.533333333333324"
"22","Johannesburg","14.110905156965069","Johannesburg","18","10","23.07692307692308","18.876923076923077","Johannesburg","18","17","0","0","Johannesburg","17","524","3.1423290203327099","2.5704251386321566","Johannesburg","17","381","4.0302267002518875","3.2967254408060436","Johannesburg","11","156","6.5868263473054043","5.3880239520958204","Johannesburg","2","1","66.666666666666657","54.533333333333324"
"23","Karachi","27.427086134427309","Karachi","18","10","23.07692307692308","18.876923076923077","Karachi","1","0","100","81.8","Karachi","31","510","5.730129390018476","4.6872458410351134","Karachi","7","391","1.5113350125944578","1.2362720403022665","Karachi","7","160","4.191616766467078","3.4287425149700694","Karachi","2","1","66.666666666666657","54.533333333333324"
"24","Lagos","5.8697930927541151","Lagos","18","10","23.07692307692308","18.876923076923077","Lagos","18","17","0","0","Lagos","22","519","4.0665434380776304","3.3264325323475017","Lagos","19","379","4.5340050377833734","3.7088161209067994","Lagos","19","148","11.377245508982043","9.3065868263473099","Lagos","0","3","0","0"
"25","Lima","14.604539819225403","Lima","18","10","23.07692307692308","18.876923076923077","Lima","18","17","0","0","Lima","18","523","3.3271719038816912","2.721626617375223","Lima","14","384","3.2745591939546586","2.6785894206549106","Lima","18","149","10.778443113772468","8.8167664670658787","Lima","2","1","66.666666666666657","54.533333333333324"
"26","London","25.106091675371218","London","18","10","23.07692307692308","18.876923076923077","London","16","15","11.764705882352928","9.6235294117646948","London","160","381","29.574861367837329","24.192236598890933","London","n/a","na","na","18.779560993163006","London","n/a","na","na","24.630966638152273","London","2","1","66.666666666666657","54.533333333333324"
