"","0.83299999999999996","X2","58","X4","X5","X6","X7","X8","X9","59","X11","X12","X13","X14","60","X16","X17","X18","X19"
"1","Public Space Attribute Totals
(sorted by winner below)",NA,"Total green space/public space","raw data","population","per 1000","difference","raw score","weighted score","Number of municipally maintained sports facilities/fields","raw data","difference","raw score","weighted score","Number of public libraries","raw data","difference","raw score","weighted score"
"81","Manila","6.2679481296539885","Paris","142.6","6500000","2.1938461538461539E-2","1.7817545867680626","1.2163055278229393","1.0131825046765084","Detroit","580","14690","3.7793934630248174","3.148234754699673","Los Angeles","73","415","14.609053497942384","12.169341563786006"
"82","Bangkok","6.2319676288317831","Amsterdam","13.9217382","813562","1.7112080210235973E-2","1.7865809680962881","0.94872222422193886","0.79028561277687503","Johannesburg","551","14719","3.5894412785746965","2.9900045850527222","Chicago","70","418","13.991769547325106","11.655144032921813"
"83","Jakarta","6.1721975317367006","Buenos Aires","47.622100000000003","2890151","1.6477374365560831E-2","1.7872156739409633","0.91353298508332159","0.76097297657440688","Dallas","525","14745","3.4191393201021754","2.8481430536451118","Hong Kong","67","421","13.374485596707814","11.140946502057608"
"84","Lima","5.9200075346589438","Moscow","188.89","11503501","1.6420218505653193E-2","1.7872728298008709","0.91036416091172612","0.75833334603946778","Sao Paulo","459","14811","2.9868343485949964","2.4880330123796317","Lima","55","433","10.905349794238674","9.0841563786008148"
"85","Hong Kong","5.6388794168789289","Shanghai","342.56","21766000","1.5738307451989342E-2","1.7879547408545347","0.87255777967237691","0.72684063046708991","Warsaw","390","14880","2.534879151110232","2.1115543328748232","Tehran","54","434","10.699588477366248","8.9127572016460839"
"86","Karachi","4.8796154958408247","Singapore","71.599999999999994","5312400","1.3477900760484902E-2","1.7902151475460393","0.74723674744116408","0.62244821061848965","Washington","315","14955","2.0436235016702682","1.7023383768913334","San Francisco","49","439","9.6707818930041185","8.0557613168724309"
"87","Rio De Janeiro","4.5320159225601815","Dubai","29.0764","2213845","1.3133891487434757E-2","1.7905591568190893","0.72816425161208542","0.60656082159286717","Karachi","261","15009","1.689919434073488","1.4077028885832155","Miami","48","440","9.4650205761316784","7.8843621399176875"
"88","Los Angeles","4.3772338692170729","Caracas","35.28","2906376","1.2138828561755259E-2","1.7915542197447689","0.67299616462587153","0.56060580513335101","Miami","230","15040","1.4868670989716293","1.238560293443367","Quito","46","442","9.0534979423868265","7.5415637860082265"
"89","Quito","4.078262934509044","Nairobi","37.299999999999997","3138369","1.188515435884053E-2","1.7918078939476836","0.65893200834851484","0.54889036295431282","Buenos Aires","216","15054","1.3951660444095069","1.1621733149931193","Montreal","43","445","8.4362139917695487","7.0273662551440337"
"90","Tehran","3.9156680699865745","Sao Paulo","141.264712","11895893","1.1875082602037528E-2","1.7918179657044866","0.65837361194857635","0.54842521875316408","Vancouver","183","15087","1.1790135586559245","0.98211829436038511","New Delhi","39","449","7.6131687242798307","6.3417695473250983"
"91","Dallas","3.5902379366488417","Montreal","43.99","3824220","1.1502999304433324E-2","1.7921900490020908","0.63774464145977561","0.5312412863359931","Durban","180","15090","1.1593633326783248","0.96574965612104458","Rome","39","449","7.6131687242798307","6.3417695473250983"
"92","San Francisco","3.3638046913277826","Madrid","35","3165235","1.1057630792026501E-2","1.7926354175144976","0.61305260621324464","0.51067282097563271","Santiago","177","15093","1.1397131067007251","0.94938101788170404","Shanghai","37","451","7.2016460905349788","5.9989711934156373"
"93","Miami","3.0626844044205987","Chicago","28.676020000000001","2718782","1.0547377465350293E-2","1.7931456708411737","0.58476323959671106","0.48710777858406029","Osaka","158","15112","1.0152616755092652","0.84571297569921788","Buenos Aires","30","458","5.7613168724279831","4.79917695473251"
"94","Bogota","2.7942879415986872","Los Angeles","40.557594999999999","3884307","1.0441397912162967E-2","1.7932516503943612","0.57888754163015221","0.48221332217791679","Rio De Janeiro","157","15113","1.0087116001833891","0.84025676295276308","Dallas","28","460","5.3497942386831312","4.4563786008230482"
